# y+ ()       
# Time        	patch         	min           	max           	average       
0             	top	0.000000e+00	0.000000e+00	0.000000e+00
0             	walls	2.459367e-01	2.459367e-01	2.459367e-01
50            	top	0.000000e+00	0.000000e+00	0.000000e+00
50            	walls	1.192125e+00	1.192125e+00	1.192125e+00
100           	top	0.000000e+00	0.000000e+00	0.000000e+00
100           	walls	3.126842e+00	3.126842e+00	3.126842e+00
150           	top	0.000000e+00	0.000000e+00	0.000000e+00
150           	walls	4.097319e+00	4.097319e+00	4.097319e+00
200           	top	0.000000e+00	0.000000e+00	0.000000e+00
200           	walls	4.562727e+00	4.562727e+00	4.562727e+00
