# Forces     
# CofR       : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
10           	((-2.225302e+02 1.194625e+02 -3.581163e-16) (2.091149e+00 -1.414626e+00 -5.027696e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.502241e-15 1.686753e-15 -2.635737e+02) (-6.638962e-18 -1.062396e-17 3.857731e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
20           	((-7.359828e+01 3.993610e+02 -8.990852e-17) (1.155265e+00 -1.774422e-01 2.429352e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.261994e-15 3.516741e-16 -7.231494e+01) (-5.010369e-20 -6.518922e-18 2.205160e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
30           	((-7.361106e+01 1.606820e+02 -2.379646e-17) (6.636010e-01 -1.306471e-01 -3.563070e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.299130e-16 2.922100e-16 -5.922173e+01) (-1.125156e-18 -7.108838e-18 6.495766e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((-2.165787e+01 1.871777e+02 2.039543e-17) (6.336728e-01 -1.333143e-01 -1.022117e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.028312e-15 9.143747e-17 -4.147735e+01) (-8.297120e-19 -6.649618e-18 1.551421e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
50           	((7.332675e+00 2.297146e+02 4.684550e-18) (6.743690e-01 -1.242253e-01 1.674082e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.242816e-15 -5.214057e-17 -3.069193e+01) (-6.279987e-19 -5.973739e-18 1.882543e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
60           	((7.328654e+00 2.463512e+02 5.645457e-18) (8.823182e-01 -5.254891e-02 8.149013e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.796204e-15 -3.934494e-17 -3.721200e+01) (-1.706215e-19 -5.783768e-18 -1.777663e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((1.322382e+01 2.524458e+02 6.645799e-18) (1.013408e+00 -3.038602e-02 8.401192e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.792388e-15 -8.192979e-17 -3.211965e+01) (9.483164e-20 -6.244703e-18 -2.779994e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
80           	((1.709249e+01 2.668787e+02 7.054411e-18) (1.100603e+00 1.127304e-04 6.652080e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.785033e-15 -9.807362e-17 -2.938158e+01) (2.801708e-19 -6.484107e-18 -4.156333e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
90           	((1.883507e+01 2.648299e+02 8.392835e-18) (1.177845e+00 1.826481e-02 -1.957068e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.546298e-15 -7.609810e-17 -2.351411e+01) (2.232722e-19 -7.857140e-18 -5.232601e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
100          	((1.970584e+01 2.700820e+02 1.074626e-17) (1.231208e+00 3.016845e-02 -9.618217e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.445455e-15 -4.941065e-17 -1.888522e+01) (1.363267e-19 -8.773535e-18 -5.915872e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
110          	((1.972893e+01 2.664376e+02 1.166481e-17) (1.268879e+00 3.942748e-02 -1.018122e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.469360e-15 -5.569943e-17 -1.455727e+01) (2.317667e-19 -8.592030e-18 -6.280036e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
120          	((1.340566e+01 2.218516e+02 9.271754e-18) (1.322296e+00 3.419501e-02 1.998625e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.210762e-15 -2.887710e-17 -1.830088e+01) (2.428523e-19 -8.659745e-18 -6.705742e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
130          	((-2.643121e+00 1.040754e+02 -1.479138e-18) (1.455993e+00 -7.074612e-03 1.471699e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.473567e-16 4.850144e-17 -3.428205e+01) (7.106460e-20 -9.404392e-18 -7.517674e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
