# y+ ()         
# Time          	patch           	min             	max             	average         
0.01            	BLADE1	6.93403080e-02	1.44489157e+00	8.46549895e-01
0.01            	BLADE2	2.99659882e-02	7.13835293e-01	4.13459700e-01
0.02000000000000001	BLADE1	1.21745295e-01	1.45679681e+00	8.24999167e-01
0.02000000000000001	BLADE2	5.98510915e-02	8.92538263e-01	4.00229825e-01
0.03000000000000002	BLADE1	8.67640730e-02	1.56903762e+00	8.28635581e-01
0.03000000000000002	BLADE2	5.00777588e-02	1.07047950e+00	4.01526178e-01
0.04000000000000003	BLADE1	9.49829142e-02	1.64615728e+00	8.32652269e-01
0.04000000000000003	BLADE2	7.89876154e-02	1.23992268e+00	4.59589405e-01
0.05000000000000004	BLADE1	1.25840872e-01	1.69885944e+00	8.37840039e-01
0.05000000000000004	BLADE2	6.34370658e-02	1.37237417e+00	5.68817223e-01
0.06000000000000005	BLADE1	1.44179509e-02	1.73616271e+00	8.34839107e-01
0.06000000000000005	BLADE2	6.97422599e-02	1.39203386e+00	6.59538738e-01
0.07000000000000005	BLADE1	8.16136811e-02	1.74403131e+00	8.20436756e-01
0.07000000000000005	BLADE2	1.73332933e-02	1.65207846e+00	6.38733160e-01
0.08000000000000006	BLADE1	6.71254698e-02	1.72883410e+00	7.98405832e-01
0.08000000000000006	BLADE2	4.78911371e-02	1.77941066e+00	6.87561239e-01
0.09000000000000007	BLADE1	5.06355930e-02	1.68404549e+00	7.66265055e-01
0.09000000000000007	BLADE2	1.04933416e-01	2.98472404e+00	9.17355071e-01
0.1000000000000001	BLADE1	4.89830386e-02	1.57864262e+00	7.23613833e-01
0.1000000000000001	BLADE2	6.55904938e-02	3.95534484e+00	1.04474072e+00
